"","b0","b1","b2","prev","ew","r2","auc","f1"
"830",0.658612759551033,0.824576659593731,0.3,0.641,0.145415626546473,0.135686112465493,0.715839683115627,0.446976336546889
"831",0.17673472315073,0.9071345704142,0.3,0.5285,0.315110333520416,0.159650555309771,0.730758937374989,0.634657836644592
"832",0.129844434792176,0.641632750630379,0.3,0.5305,0.222196791092787,0.0785872484702891,0.662490937042151,0.569813453928773
"833",0.545637557515875,0.447358884848654,0.3,0.6245,0.0484351794951378,0.0414383964291517,0.618767814843842,0.21271676300578
"834",0.277358313556761,0.155863677384332,0.3,0.5845,0.0033961019003471,0.00128813754271817,0.538203467263368,0.189944134078212
"835",0.844905040692538,0.5656389859505,0.3,0.688,0.0499157399557603,0.0562292507545147,0.646838690909091,0.19047619047619
"836",0.172160580288619,0.733414645772427,0.3,0.5395,0.246958157931883,0.0902316526677314,0.67016524988089,0.564746149458072
"837",0.5378372608684,0.0790203369688243,0.3,0.633,0.0020226976784129,0.00127182567622353,0.525599682219678,NA
"838",0.17732296208851,0.616445698775351,0.3,0.5415,0.218592283406909,0.0861957317482887,0.666207620303654,0.546771273385637
"839",0.693710960447788,0.742685769451782,0.3,0.6255,0.0907925713848638,0.0895424050317183,0.680789884135472,0.420404573438874
"840",0.0377873161341995,0.597364633111283,0.3,0.497,0.275034483551801,0.0743081689555457,0.655977677226548,0.619704433497537
"841",0.82579615782015,0.666227048030123,0.3,0.682,0.0656840451579169,0.0690902141839238,0.6657964187406,0.23905325443787
"842",0.358638141071424,0.311347774462774,0.3,0.5865,0.0436606860212064,0.0238061901195215,0.586239583333333,0.277097078228087
"843",0.0401899430435151,0.887345857685432,0.3,0.4985,0.385166349204421,0.142293396518152,0.716143458295333,0.649246231155779
"844",0.389224516926333,0.592111284611747,0.3,0.574,0.147914735695267,0.0626694320888372,0.648562235565352,0.435745937961595
"845",0.128920625662431,0.099293447798118,0.3,0.5355,0.000497850875340304,6.24629432743884e-05,0.509161983139301,NA
"846",0.641705816844478,0.773038416169584,0.3,0.6385,0.14192015935198,0.114306431933634,0.696867745980108,0.442176870748299
"847",0.50911125401035,0.0436862066853791,0.3,0.618,0.000713585154063298,0.000358591164941302,0.515680437176298,NA
"848",0.500583049841225,0.278703559888527,0.3,0.6115,0.0228217160415198,0.0161823577215218,0.57802175917152,0.129779837775203
"849",0.201273716986179,0.5072320131585,0.3,0.5535,0.169344264955256,0.0569977401270588,0.636568212934489,0.496560350218887
